Rank,Title,Author,Ratings,Price,No_of_Reviews,Cover_Type,Year_of_List,Genre
40,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.4,20.65,2172,Hardcover,2011,Non-Fiction
41,The Help,Kathryn Stockett,4.8,10.49,18068,Paperback,2011,Fiction
42,"Thinking, Fast and Slow",Daniel Kahneman,4.6,23.87,29732,Hardcover,2011,Non-Fiction
43,The Paris Wife: A Novel,Paula McLain,4.4,15.99,5284,Hardcover,2011,Fiction
44,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,9.21,2727,Paperback,2011,Non-Fiction
45,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,9.8,16418,Paperback,2011,Fiction
46,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.5,22.99,860,Paperback,2011,Non-Fiction
47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,12.99,9950,Paperback,2011,Non-Fiction
48,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,4.7,24,5331,Paperback,2011,Non-Fiction
49,What to Expect When You're Expecting,Heidi Murkoff,4.8,18,29389,Paperback,2011,Non-Fiction
51,The Best of Me,Nicholas Sparks,4.6,18.89,8837,Hardcover,2011,Fiction
52,Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,Jacqueline Kennedy,4.4,13.08,669,Hardcover,2011,Non-Fiction
53,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.5,9.49,15466,Paperback,2011,Fiction
54,The Greater Journey: Americans in Paris,David McCullough,4.5,25.41,1694,Hardcover,2011,Non-Fiction
55,Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,16.99,3912,Hardcover,2011,Non-Fiction
56,Every Thing On It,Shel Silverstein,4.9,11.99,1753,Hardcover,2011,Fiction
57,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,4.5,10.41,13221,Hardcover,2011,Fiction
58,Moonwalking With Einstein: The Art and Science of Remembering Everything,Joshua Foer,4.5,13.58,5965,Hardcover,2011,Non-Fiction
59,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,4.5,6.79,18656,Paperback,2011,Fiction
60,The Help,Kathryn Stockett,4.8,13.78,18068,Hardcover,2011,Fiction
61,1Q84: A novel,Haruki Murakami,4.4,21.99,4649,Hardcover,2011,Fiction
62,Boomerang: Travels in the New Third World,Michael Lewis,4.5,13.81,1774,Hardcover,2011,Non-Fiction
63,Who Moved My Cheese,Spencer Johnson,4.6,16.13,16756,Hardcover,2011,Fiction
64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,4.5,15.64,2349,Hardcover,2011,Non-Fiction
65,Elder Scrolls V: Skyrim: Prima Official Game Guide,David Hodgson,4.6,17.36,1781,Paperback,2011,Non-Fiction
66,The Glass Castle: A Memoir (book),Jeannette Walls,4.6,12.06,19006,Paperback,2011,Non-Fiction
67,The Book Thief,Markus Zusak,4.7,6.99,34536,Paperback,2011,Fiction
68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,4.5,13.39,18929,Hardcover,2011,Non-Fiction
69,"Oh, the Places You'll Go!",Dr. Seuss,4.9,8.48,42848,Hardcover,2011,Fiction
70,Through My Eyes,Tim Tebow,4.7,8.93,1003,Hardcover,2011,Non-Fiction
71,The Land of Painted Caves: A Novel (Earth's Children),Jean M. Auel,4.2,22.79,6293,Hardcover,2011,Fiction
72,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David Brooks,4.5,14.52,865,Hardcover,2011,Non-Fiction
73,A Guide to the Project Management Body of Knowledge,Project Management Institute,4.4,24.33,726,Paperback,2011,Non-Fiction
74,Guinness World Records 2012,Guinness World Records,4.6,12.94,489,Hardcover,2011,Non-Fiction
75,State of Wonder,Ann Patchett,4.2,19.1,3966,Hardcover,2011,Fiction
76,A Visit from the Goon Squad,Jennifer Egan,4,11.59,4365,Paperback,2011,Fiction
77,"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",Caldwell B. Esselstyn Jr.,4.6,16.2,5774,Paperback,2011,Non-Fiction
78,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.9,38.86,91628,Paperback,2011,Fiction
79,Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),Janet Evanovich,4.6,14.99,4629,Hardcover,2011,Fiction
80,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,4.6,15.98,11732,Paperback,2011,Non-Fiction
81,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,16.97,3242,Hardcover,2011,Non-Fiction
82,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,14.53,11549,Hardcover,2011,Fiction
83,Room,Emma Donoghue,4.5,10.43,9750,Paperback,2011,Fiction
84,Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.6,13.49,6239,Paperback,2011,Fiction
85,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,12.99,5732,Paperback,2011,Non-Fiction
86,Emotional Intelligence 2.0,Travis Bradberry,4.5,14.98,10429,Hardcover,2011,Non-Fiction
87,Outliers: The Story of Success,Malcolm Gladwell,4.7,15.71,22209,Paperback,2011,Non-Fiction
88,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Gene Stone,4.5,8.69,2800,Paperback,2011,Non-Fiction
89,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,11.12,10693,Paperback,2011,Fiction
90,"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories",Lisa Lillien,4.4,20.25,1156,Paperback,2011,Non-Fiction
91,The Alchemist,Paulo Coelho,4.7,25,3816,Paperback,2011,Fiction
92,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.6,24.95,4736,Paperback,2011,Non-Fiction
93,The Invention of Hugo Cabret,Brian Selznick,4.8,13.03,2654,Hardcover,2011,Fiction
94,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,3.5,17.89,776,Hardcover,2011,Non-Fiction
95,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,10.79,5489,Paperback,2011,Non-Fiction
96,Smokin' Seventeen (Stephanie Plum),Janet Evanovich,4.6,14.44,3762,Hardcover,2011,Fiction
97,"Moleskine Classic Notebook, Hard Cover, Large (5"" x 8.25"") Ruled/Lined, Black, 240 Pages",The Moleskine Store ,4.8,20.61,22268,Hardcover,2011,Non-Fiction
98,The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,8.79,5893,Paperback,2011,Non-Fiction
99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.7,9.99,11833,Paperback,2011,Non-Fiction
100,The Official Guide for GMAT Review,GMAC (Graduate Management Admission Council),4.4,39.99,303,Paperback,2011,Non-Fiction
1,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",E L James,4,13.99,60233,Paperback,2012,Fiction
2,Fifty Shades Darker,E L James,4.5,13.99,32887,Paperback,2012,Fiction
3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,4.5,13.88,32375,Paperback,2012,Fiction
4,The Hunger Games (Book 1),Suzanne Collins,4.7,11.69,42770,Paperback,2012,Fiction
5,StrengthsFinder 2.0,Gallup,4.1,18.29,7082,Hardcover,2012,Non-Fiction
6,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.6,19.49,38220,Paperback,2012,Fiction
7,Catching Fire (The Hunger Games),Suzanne Collins,4.7,9.49,32459,Hardcover,2012,Fiction
8,Mockingjay (The Hunger Games),Suzanne Collins,4.6,9.08,37034,Hardcover,2012,Fiction
9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,13.95,12521,Hardcover,2012,Fiction
10,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,16.89,9676,Hardcover,2012,Non-Fiction
11,The Hunger Games Trilogy Boxed Set,Suzanne Collins,4.8,59.9,27185,Hardcover,2012,Fiction
12,Gone Girl,Gillian Flynn,4.1,15.21,66978,Hardcover,2012,Fiction
13,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,11.26,13958,Hardcover,2012,Fiction
14,The Official SAT Study Guide,The College Board,4.4,41,1526,Paperback,2012,Non-Fiction
15,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,54.98,6354,Mass Market Paperback,2012,Fiction
16,Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,17.68,10410,Hardcover,2012,Non-Fiction
17,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,24.29,12674,Paperback,2012,Non-Fiction
18,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9.99,10849,Hardcover,2012,Non-Fiction
19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,14.54,33629,Hardcover,2012,Non-Fiction
20,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.4,12.79,16915,Paperback,2012,Non-Fiction
21,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,23.99,7012,Paperback,2012,Non-Fiction
22,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,17.99,2346,Hardcover,2012,Non-Fiction
23,"Thinking, Fast and Slow",Daniel Kahneman,4.6,23.87,29732,Hardcover,2012,Non-Fiction
24,The Casual Vacancy,J.K. Rowling,3.4,11,10955,Hardcover,2012,Fiction
25,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.7,9.49,19005,Paperback,2012,Fiction
26,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.7,19.19,22727,Hardcover,2012,Non-Fiction
27,Steve Jobs,Walter Isaacson,4.7,17.33,12780,Hardcover,2012,Non-Fiction
28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,13.96,8638,Hardcover,2012,Non-Fiction
29,"Oh, the Places You'll Go!",Dr. Seuss,4.9,8.48,42848,Hardcover,2012,Fiction
30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,19.99,1676,Paperback,2012,Non-Fiction
31,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,20.72,6269,Hardcover,2012,Non-Fiction
32,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,23.01,20015,Hardcover,2012,Non-Fiction
33,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,4.5,6.79,18656,Paperback,2012,Fiction
34,The Racketeer,John Grisham,4.4,20.15,24614,Hardcover,2012,Fiction
35,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.3,13.95,2489,Hardcover,2012,Non-Fiction
36,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,14.48,20089,Hardcover,2012,Fiction
37,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,12.1,16936,Paperback,2012,Non-Fiction
38,The Fault in Our Stars,John Green,4.7,11.06,62087,Hardcover,2012,Fiction
39,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,12.58,4883,Hardcover,2012,Fiction
40,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,17.12,4514,Hardcover,2012,Non-Fiction
41,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.5,18.24,23549,Hardcover,2012,Non-Fiction
42,Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.6,13.98,18184,Hardcover,2012,Fiction
43,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,13.32,4667,Hardcover,2012,Non-Fiction
44,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.5,12.8,9887,Hardcover,2012,Non-Fiction
45,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,10.24,17368,Paperback,2012,Non-Fiction
46,"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,7.53,31196,Hardcover,2012,Non-Fiction
47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,12.99,9950,Paperback,2012,Non-Fiction
48,Thomas Jefferson: The Art of Power,Jon Meacham,4.6,17.65,2922,Hardcover,2012,Non-Fiction
49,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,16.5,5803,Hardcover,2012,Non-Fiction
50,The Amateur,Edward Klein,4.5,9.6,2707,Hardcover,2012,Non-Fiction
51,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Deb Perelman,4.7,17.14,1834,Hardcover,2012,Non-Fiction
52,What to Expect When You're Expecting,Heidi Murkoff,4.8,18,29389,Paperback,2012,Non-Fiction
53,The Walking Dead: Compendium One,Robert Kirkman,4.8,27.49,7562,Paperback,2012,Fiction
54,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,Nate Silver,4.5,18.46,1939,Hardcover,2012,Non-Fiction
55,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),The Oatmeal,4.5,7.07,10687,Paperback,2012,Fiction
56,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.5,24.31,17252,Hardcover,2012,Fiction
57,America Again: Re-becoming the Greatness We Never Weren't,Stephen Colbert,4.3,15.84,604,Hardcover,2012,Non-Fiction
58,LEGO NINJAGO: Character Encyclopedia,DK Publishing,4.5,5.52,887,Hardcover,2012,Fiction
59,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,18.52,19371,Hardcover,2012,Non-Fiction
60,Outliers: The Story of Success,Malcolm Gladwell,4.7,15.71,22209,Paperback,2012,Non-Fiction
61,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.5,22.99,860,Paperback,2012,Non-Fiction
62,Bared to You,Sylvia Day,4.4,8.78,14707,Paperback,2012,Fiction
63,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,7.74,86676,Paperback,2012,Non-Fiction
64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,4.5,15.64,2349,Hardcover,2012,Non-Fiction
65,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,16.97,3104,Hardcover,2012,Non-Fiction
66,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,16.48,1920,Paperback,2012,Non-Fiction
67,Go the F**k to Sleep,Adam Mansbach,4.8,14.35,20243,Hardcover,2012,Fiction
68,Bring Up the Bodies,Hilary Mantel,4.5,27.99,8622,Hardcover,2012,Fiction
69,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Jim Collins,4.6,11.55,1281,Hardcover,2012,Non-Fiction
70,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,Joel Fuhrman MD,4.5,21.9,9950,Mass Market Paperback,2012,Non-Fiction
71,"Reflected in You (Crossfire, Book 2)",Sylvia Day,4.6,17,12620,Paperback,2012,Fiction
72,Who Moved My Cheese,Spencer Johnson,4.6,16.13,16756,Hardcover,2012,Fiction
73,The Book Thief,Markus Zusak,4.7,6.99,34536,Paperback,2012,Fiction
74,A Guide to the Project Management Body of Knowledge,Project Management Institute,4.4,24.33,726,Paperback,2012,Non-Fiction
75,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,4.3,16,3845,Hardcover,2012,Non-Fiction
76,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",Charlaine Harris,4.5,14.85,4372,Hardcover,2012,Fiction
77,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,4.7,20.97,9891,Paperback,2012,Non-Fiction
78,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Gene Stone,4.5,8.69,2800,Paperback,2012,Non-Fiction
79,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,4.9,15.79,11859,Hardcover,2012,Non-Fiction
80,Notorious Nineteen: A Stephanie Plum Novel,Janet Evanovich,4.6,14.76,8075,Hardcover,2012,Fiction
81,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,4.5,19.87,2827,Hardcover,2012,Non-Fiction
82,Cloud Atlas,David Mitchell,4.3,11.99,5824,Paperback,2012,Fiction
83,The Alchemist,Paulo Coelho,4.7,25,3816,Paperback,2012,Fiction
84,The Hunger Games,Suzanne Collins,4.7,22.6,42770,Hardcover,2012,Fiction
85,"Help, Thanks, Wow: The Three Essential Prayers",Anne Lamott,4.6,13,2022,Hardcover,2012,Non-Fiction
86,Wonder,R. J. Palacio,4.8,9.67,35698,Hardcover,2012,Fiction
87,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",Woo Myung,3.8,22.97,50,Hardcover,2012,Non-Fiction
88,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",Mary C. Neal,4.5,9.29,4826,Paperback,2012,Non-Fiction
89,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",Del Sroufe,4.5,9.79,13075,Paperback,2012,Non-Fiction
90,Catching Fire (Hunger Games),Suzanne Collins,4.7,12.55,32459,Paperback,2012,Fiction
91,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",Robert Jordan,4.8,19.81,13061,Hardcover,2012,Fiction
92,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4.89,11127,Hardcover,2012,Fiction
93,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,4.6,15.98,11732,Paperback,2012,Non-Fiction
94,The Passage of Power: The Years of Lyndon Johnson,Robert A. Caro,4.8,26.43,1511,Hardcover,2012,Non-Fiction
95,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,4.8,14.52,5477,Hardcover,2012,Non-Fiction
96,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",Zhi Gang Sha Dr.,4.6,23.95,153,Hardcover,2012,Non-Fiction
97,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,4.7,24,5331,Paperback,2012,Non-Fiction
98,The Big Short: Inside the Doomsday Machine,Michael Lewis,4.6,11.24,16143,Paperback,2012,Non-Fiction
99,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy Keller,4.8,20.26,6212,Hardcover,2012,Non-Fiction
100,Night (Night),Elie Wiesel,4.7,5.49,8573,Paperback,2012,Non-Fiction
1,StrengthsFinder 2.0,Gallup,4.1,18.29,7082,Hardcover,2013,Non-Fiction
2,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,16.2,8182,Hardcover,2013,Non-Fiction
3,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,13.85,12470,Hardcover,2013,Fiction
4,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,10.25,9349,Hardcover,2013,Fiction
5,"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,7.53,31196,Hardcover,2013,Non-Fiction
6,Inferno,Dan Brown,4.2,13.59,35546,Hardcover,2013,Fiction
7,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,12.2,15237,Hardcover,2013,Fiction
8,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,11.87,7789,Hardcover,2013,Non-Fiction
9,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,4.5,6.79,18656,Paperback,2013,Fiction
10,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,18.44,13007,Hardcover,2013,Non-Fiction
11,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.4,12.79,16915,Paperback,2013,Non-Fiction
12,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.7,144,12114,Paperback,2013,Non-Fiction
13,The Official SAT Study Guide,The College Board,4.4,41,1526,Paperback,2013,Non-Fiction
14,The Fault in Our Stars,John Green,4.7,11.06,62087,Hardcover,2013,Fiction
15,The Book Thief,Markus Zusak,4.7,6.99,34536,Paperback,2013,Fiction
16,Wonder,R. J. Palacio,4.8,9.67,35698,Hardcover,2013,Fiction
17,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,23.99,7012,Paperback,2013,Non-Fiction
18,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,24.29,12674,Paperback,2013,Non-Fiction
19,Divergent,Veronica Roth,4.7,8,9701,Paperback,2013,Fiction
20,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,4.99,10751,Paperback,2013,Non-Fiction
21,"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,8.48,42848,Hardcover,2013,Fiction
22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.5,16.6,7251,Hardcover,2013,Non-Fiction
23,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,54.98,6354,Mass Market Paperback,2013,Fiction
24,Allegiant,Veronica Roth,3.9,12.04,24591,Hardcover,2013,Fiction
25,And the Mountains Echoed,Khaled Hosseini,4.4,12.33,17303,Hardcover,2013,Fiction
26,Humans of New York,Brandon Stanton,4.8,15.38,5377,Hardcover,2013,Non-Fiction
27,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,32,9588,Hardcover,2013,Fiction
28,Doctor Sleep: A Novel,Stephen King,4.7,16,23805,Hardcover,2013,Fiction
29,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,4.44,5687,Paperback,2013,Fiction
30,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4,22.33,42846,Hardcover,2013,Fiction
31,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,7.74,86676,Paperback,2013,Non-Fiction
32,Gone Girl,Gillian Flynn,4.1,15.21,66978,Hardcover,2013,Fiction
33,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.7,17.2,6506,Hardcover,2013,Non-Fiction
34,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,13.47,20015,Paperback,2013,Non-Fiction
35,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,14.48,20089,Hardcover,2013,Fiction
36,Sycamore Row (Jake Brigance),John Grisham,4.6,14.61,36455,Hardcover,2013,Fiction
37,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,13.96,8638,Hardcover,2013,Non-Fiction
38,"The Pioneer Woman Cooks―A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,14.39,4883,Hardcover,2013,Non-Fiction
39,The Day the Crayons Quit,Drew Daywalt,4.8,9.19,19898,Hardcover,2013,Fiction
40,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,13.15,4798,Hardcover,2013,Non-Fiction
41,The Very Hungry Caterpillar,Eric Carle,4.9,4.93,54008,Board book,2013,Fiction
42,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,12.9,2913,Hardcover,2013,Non-Fiction
43,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,19.99,1676,Paperback,2013,Non-Fiction
44,Joyland (Hard Case Crime),Stephen King,4.6,9.66,10723,Paperback,2013,Fiction
45,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",E L James,4,13.99,60233,Paperback,2013,Fiction
46,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Zhi Gang Sha,4.6,15.29,278,Hardcover,2013,Non-Fiction
47,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,15.95,3106,Hardcover,2013,Non-Fiction
48,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,12.27,7980,Paperback,2013,Non-Fiction
49,To Kill a Mockingbird,Harper Lee,4.8,17.36,68841,Mass Market Paperback,2013,Fiction
50,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,20.72,6296,Hardcover,2013,Non-Fiction
51,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,14.54,33629,Hardcover,2013,Non-Fiction
52,Ender's Game (The Ender Quintet),Orson Scott Card,4.6,21.5,18398,Mass Market Paperback,2013,Fiction
53,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.7,6.92,29674,Paperback,2013,Non-Fiction
54,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",Robert Galbraith,4.2,16.68,27919,Hardcover,2013,Fiction
55,What to Expect When You're Expecting,Heidi Murkoff,4.8,18,29389,Paperback,2013,Non-Fiction
56,America the Beautiful: Rediscovering What Made This Nation Great,Ben Carson  M.D.,4.8,10.61,3826,Paperback,2013,Non-Fiction
57,The Liberty Amendments: Restoring the American Republic,Mark R. Levin,4.8,17.36,4052,Hardcover,2013,Non-Fiction
58,ZEALOT: The Life and Times of Jesus of Nazareth,Reza Aslan,4.4,16.5,7011,Hardcover,2013,Non-Fiction
59,The One and Only Ivan,Katherine Applegate,4.8,11.8,19881,Hardcover,2013,Fiction
60,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,16.5,5803,Hardcover,2013,Non-Fiction
61,SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,Si Robertson,4.7,8.24,2029,Hardcover,2013,Non-Fiction
62,"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",Gwyneth Paltrow,4.4,24.78,1418,Hardcover,2013,Non-Fiction
63,Outliers: The Story of Success,Malcolm Gladwell,4.7,15.71,22209,Paperback,2013,Non-Fiction
64,Jerusalem: A Cookbook,Yotam Ottolenghi,4.8,19.39,5149,Hardcover,2013,Non-Fiction
